simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit -5.832155 8.030830 6.880219 9.925133 0.647097 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -14.416910 19.447502 12.203156 24.208524 0.484863 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -21.328873 28.353987 16.450502 35.480549 0.448464 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -24.267714 32.088291 18.283787 40.231584 0.440117 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -29.321342 38.395214 21.315443 48.310802 0.428025 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -35.769508 46.277508 25.225351 58.489875 0.418917 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -43.918346 55.979393 30.014925 71.151343 0.410242 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -49.253189 62.179596 33.107315 79.323255 0.406116 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -55.041203 68.777359 36.424408 88.090062 0.402532 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -59.801525 74.111252 39.134869 95.229723 0.400185 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -67.137566 82.164307 43.265511 106.105730 0.397229 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032422 0.000070 2.336662 -2.403682 -9.709787 5.405561 -1 pt=10.002882 trkIdx=0 algo=4
simHit -0.960755 -4.053644 4.592013 4.165942 0.951876 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -1.635810 -6.858145 6.150547 7.050534 0.788175 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -2.411949 -10.131902 7.967789 10.415034 0.705126 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.363593 -23.120007 15.070888 23.734002 0.598597 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -7.181199 -31.599930 19.758596 32.405635 0.577148 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -9.309123 -42.106941 25.558340 43.123709 0.562534 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -10.328400 -47.382530 28.469292 48.495154 0.557692 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -12.161425 -57.343330 34.009792 58.618749 0.551761 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -13.565400 -65.462135 38.456543 66.852907 0.547479 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -15.634001 -78.392365 45.524971 79.936129 0.542511 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -16.825247 -86.455162 49.921848 88.077148 0.540146 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -17.809074 -93.544495 53.775707 95.224659 0.538342 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -19.648886 -108.157524 61.709106 109.927834 0.535410 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031763 0.002061 3.631012 7.946098 -6.071991 -4.638701 1 pt=10.000478 trkIdx=0 algo=4
simHit 4.025258 -1.000537 -1.720474 4.147744 -0.403739 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 5.614462 -4.298304 0.363339 7.070898 0.051363 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 7.863035 -6.051575 -0.956671 9.922141 -0.096269 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 18.929310 -14.854002 -7.489704 24.061591 -0.306453 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 27.446192 -21.838831 -12.596583 35.074606 -0.351833 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 34.253670 -27.552660 -16.692545 43.959788 -0.371143 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 37.584560 -30.393860 -18.713900 48.336176 -0.378089 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 48.464497 -39.877087 -25.413143 62.761369 -0.394597 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 51.591106 -42.665604 -27.350542 66.947711 -0.397949 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 58.842690 -49.239338 -31.874252 76.726622 -0.404320 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 67.640671 -57.417450 -37.428719 88.724427 -0.410249 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 74.202759 -63.665878 -41.615921 97.772151 -0.413737 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 82.938782 -72.189079 -47.254898 109.955012 -0.417528 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031763 0.002061 3.631012 -7.946098 6.071991 4.638701 -1 pt=10.000478 trkIdx=1 algo=13
simHit -3.691736 2.831541 5.800163 4.652584 1.045501 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -5.624017 4.287556 6.922368 7.071966 0.866336 0.021954 0.000040 0.000000 0.000000 0.000000 0.000000
simHit -7.906916 5.996531 8.243514 9.923593 0.756461 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -19.202234 14.284527 14.658892 23.932687 0.579518 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -25.864695 19.053192 18.444738 32.124859 0.546539 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -32.463512 23.688963 22.218063 40.187642 0.527983 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -38.862679 28.095675 25.797470 47.954924 0.514897 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -47.594028 33.973614 30.737518 58.475619 0.504033 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -57.276970 40.311771 36.105572 70.040632 0.495028 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -62.931351 43.925144 39.219925 76.744858 0.491067 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -69.826195 48.248909 43.002350 84.874347 0.487160 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -81.428581 55.317501 49.311646 98.441047 0.482040 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -88.028160 59.230484 52.879387 106.099987 0.479773 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.031399 -0.000277 2.794397 9.092314 4.161633 2.683597 1 pt=9.999467 trkIdx=0 algo=4
simHit 3.790772 1.709739 3.902889 4.158505 0.837234 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.458531 2.910320 4.688414 7.083967 0.621120 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 9.491466 4.263166 5.578339 10.404927 0.513287 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
