simTrack 0.001181 -0.001041 0.001408 -6.028579 7.982378 -2.452069 1 pt=10.003106 trkIdx=1 algo=4
simHit 26.712992 -0.482580 -13.379451 26.717350 -0.481907 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 31.897131 -0.670434 -15.989099 31.904176 -0.482249 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 40.000908 -1.024376 -20.044844 40.014022 -0.482057 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 51.180283 -1.639319 -25.667181 51.206530 -0.482328 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 62.687534 -2.435317 -31.472588 62.734821 -0.482711 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 66.992599 -2.771897 -33.640949 67.049920 -0.482759 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 76.055481 -3.556628 -38.207508 76.138596 -0.482835 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 88.618668 -4.800164 -44.545277 88.748576 -0.482934 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 94.426819 -5.439421 -47.477615 94.583357 -0.482969 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 109.035240 -7.217446 -54.868317 109.273854 -0.483105 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.000292 0.000819 -0.000417 -10.002917 0.024050 5.009224 -1 pt=10.002947 trkIdx=0 algo=4
simHit -4.201520 0.000808 2.103726 4.201521 0.481843 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.086056 -0.010594 3.548253 7.086064 0.481871 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -9.950976 -0.032030 4.982897 9.951028 0.481875 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -24.345528 -0.288796 12.105169 24.347240 0.478696 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -35.812450 -0.672194 17.845306 35.818758 0.479611 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -40.626537 -0.864413 20.292213 40.635732 0.480647 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -48.491119 -1.250840 24.219555 48.507250 0.480584 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -61.717876 -2.055813 30.929224 61.752106 0.481982 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -67.878914 -2.498544 34.024616 67.924883 0.482030 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -79.944748 -3.490952 40.089645 80.020931 0.482097 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -84.796486 -3.937099 42.532730 84.887836 0.482147 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -95.095314 -4.970438 47.720112 95.225123 0.482222 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -109.795799 -6.658420 55.142200 109.997509 0.482378 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.000741 -0.000320 -0.014739 -5.737629 8.200484 -2.274135 1 pt=10.008412 trkIdx=1 algo=4
simHit -2.373349 3.410105 -0.958947 4.154709 -0.228808 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.286585 6.184187 -1.725001 7.524559 -0.227287 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.640517 8.161384 -2.269735 9.920868 -0.226834 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -13.216869 19.446480 -5.341984 23.512788 -0.225284 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -19.957539 29.819290 -8.157326 35.881658 -0.225426 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -22.534740 33.871574 -9.229059 40.682897 -0.224952 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -28.372669 43.242878 -11.722404 51.719966 -0.224754 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -31.894932 49.026543 -13.284327 58.488363 -0.225219 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -36.731991 57.141190 -15.428629 67.929042 -0.225220 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -40.878242 64.263153 -17.298119 76.162875 -0.225211 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -45.196762 71.845039 -19.279589 84.879073 -0.225233 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -51.772015 83.739136 -22.358099 98.450924 -0.225191 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -56.907555 93.339699 -24.826508 109.319573 -0.225192 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.000741 -0.000320 -0.014739 5.737629 -8.200484 2.274135 -1 pt=10.008412 trkIdx=0 algo=4
simHit 2.389164 -3.396790 0.928716 4.152865 0.221809 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 4.339615 -6.145749 1.693984 7.523462 0.223300 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 5.734074 -8.097805 2.238555 9.922401 0.223735 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 15.803372 -21.887033 6.022327 26.996089 0.221271 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 18.753595 -25.801388 7.136992 31.896849 0.221926 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 26.002647 -35.267422 9.846174 43.816991 0.222862 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 30.568806 -41.094673 11.566325 51.217419 0.223951 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 37.785351 -50.100559 14.228462 62.751883 0.224842 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 42.445698 -55.790070 15.899294 70.101135 0.224904 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 46.699821 -60.894665 17.409132 76.740039 0.224956 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 54.479691 -70.030510 20.136871 88.726033 0.225051 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 60.436806 -76.858116 22.195196 97.774115 0.225099 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 68.556900 -85.937889 24.965084 109.933477 0.225185 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.000718 -0.001031 -0.011738 -8.888440 -4.596074 -0.486083 1 pt=10.006412 trkIdx=0 algo=4
simHit -3.684078 -1.894733 -0.212840 4.142758 -0.051354 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.281231 -3.217512 -0.354339 7.057354 -0.050187 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -8.848875 -4.514668 -0.493849 9.934023 -0.049692 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -21.039381 -10.528629 -1.141052 23.526742 -0.048481 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -28.867178 -14.263799 -1.664681 32.198912 -0.051677 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -36.486595 -17.805414 -1.955698 40.599315 -0.048152 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -43.252319 -20.873775 -2.423685 48.025802 -0.050445 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -55.793507 -26.377192 -2.996600 61.714436 -0.048537 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -64.466492 -30.050463 -3.448839 71.126358 -0.048470 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -72.037964 -33.164829 -3.840690 79.305574 -0.048410 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -77.829529 -35.491695 -4.142235 85.540026 -0.048406 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -86.257782 -38.789787 -4.576097 94.578288 -0.048365 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -97.695694 -43.104942 -5.165423 106.782417 -0.048355 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack -0.000372 0.000756 -0.007450 9.709716 -2.429549 5.277915 1 pt=10.009061 trkIdx=0 algo=4
simHit 4.022503 -1.015910 2.180456 4.148808 0.503958 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.845393 -1.741438 3.717045 7.063428 0.504556 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 10.070580 -2.583040 5.474940 10.396570 0.504885 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 22.741428 -6.016380 12.308305 23.523805 0.501890 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 34.244202 -9.304443 18.614170 35.485744 0.503065 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 39.214386 -10.792751 21.385422 40.672491 0.504164 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 46.234856 -12.935344 25.240061 48.010259 0.504099 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 56.332695 -16.132860 30.906164 58.597284 0.505613 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 65.728447 -19.229195 36.125008 68.483507 0.505672 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 73.631493 -21.924364 40.533916 76.826261 0.505765 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 84.249184 -25.679979 46.478077 88.076026 0.505853 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 94.009155 -29.268606 51.965343 98.460005 0.505921 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 101.751556 -32.209545 56.338326 106.727850 0.505999 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.000372 0.000756 -0.007450 -9.709716 2.429549 -5.277915 -1 pt=10.009061 trkIdx=1 algo=4
simHit -4.025744 0.997660 -2.194018 4.147523 -0.506994 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.862734 1.688015 -3.732561 7.067285 -0.506244 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -10.097820 2.463282 -5.485505 10.393928 -0.505903 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -26.018875 6.089533 -14.074168 26.721981 -0.504955 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -31.149471 7.194131 -16.855049 31.969440 -0.505428 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -39.323666 8.883692 -21.247061 40.314646 -0.505257 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -50.632858 11.086502 -27.319830 51.832392 -0.505301 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -61.356781 13.032333 -33.103424 62.725563 -0.505894 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -65.424866 13.732866 -35.285439 66.850615 -0.505960 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
