simTrack 0.029225 0.001571 2.869650 -0.621749 -0.781877 0.113876 1 pt=0.998951 trkIdx=0 algo=4
simHit 58.371853 -49.794456 -33.824390 76.725231 -0.427692 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 68.273476 -51.666916 -38.416058 85.619727 -0.434848 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 78.810005 -52.344692 -43.231655 94.609639 -0.442377 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 93.696159 -51.121410 -50.114731 106.735041 -0.453789 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.033072 -0.000786 1.954888 -0.578975 -0.803696 -0.541395 -1 pt=0.990525 trkIdx=0 algo=4
simHit -2.585992 -3.851835 -0.590646 4.639396 -0.126970 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -3.862456 -5.906025 -1.917923 7.056890 -0.268541 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.533883 -8.805451 -3.757228 10.399992 -0.353842 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -12.211170 -24.319326 -13.063393 27.212907 -0.463292 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -13.714006 -29.559271 -16.079765 32.585648 -0.475356 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -15.318707 -37.470455 -20.521503 40.480833 -0.487414 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -16.293219 -49.121651 -27.020287 51.753314 -0.500889 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -15.667697 -60.762150 -33.543797 62.749626 -0.511913 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -15.025909 -65.129196 -36.010109 66.840034 -0.515600 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -11.610181 -78.460838 -43.666397 79.315191 -0.525956 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -9.024752 -85.081703 -47.608742 85.558999 -0.531119 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -4.121004 -94.591225 -53.521881 94.680951 -0.538832 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 4.101149 -106.032547 -61.255207 106.111830 -0.549237 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032989 0.002631 -3.627241 -0.615761 -0.796916 -0.371237 1 pt=1.007094 trkIdx=0 algo=4
simHit -2.897182 -3.590726 -5.334550 4.613781 -0.987642 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.517422 -5.430285 -6.238912 7.063646 -0.796359 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -6.477171 -7.523445 -7.299737 9.927536 -0.681347 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -19.410805 -18.575144 -13.609412 26.866621 -0.487067 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -23.646002 -21.357351 -15.495947 31.863300 -0.468948 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -33.842854 -26.738079 -19.794170 43.130773 -0.444183 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -38.887295 -28.878866 -21.763718 48.437698 -0.435424 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -50.132507 -32.135967 -26.159744 59.548205 -0.426276 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -57.900795 -33.484413 -29.111996 66.885783 -0.422561 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -72.433472 -33.835232 -34.638763 79.946424 -0.420750 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -78.943672 -33.161720 -37.134109 85.625949 -0.421120 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -93.112732 -29.938173 -42.664864 97.807336 -0.423445 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -103.629471 -25.787258 -46.908737 106.789746 -0.426238 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.030668 0.000852 4.899781 -0.995875 -0.031835 0.354103 1 pt=0.996384 trkIdx=1 algo=4
simHit -4.207296 -0.031905 6.406123 4.207417 1.207223 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.094091 0.065343 7.443864 7.094392 0.915780 0.021954 0.000040 0.000000 0.000000 0.000000 0.000000
simHit -9.930050 0.246930 8.467663 9.933120 0.773116 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.594545 2.438575 13.383444 23.720228 0.537903 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -34.781513 5.945304 17.587624 35.285979 0.479808 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -39.382496 7.855067 19.403589 40.158225 0.466116 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -46.454376 11.430878 22.217512 47.840088 0.449157 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -55.827469 17.534904 26.271000 58.516486 0.435092 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -66.042854 26.471823 31.197098 71.150657 0.425508 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -69.813858 30.541990 33.197598 76.202283 0.422930 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -77.779144 41.326771 38.034832 88.076656 0.419431 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -81.857414 48.684219 41.072689 95.240692 0.418893 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -86.788177 61.162678 45.903683 106.174672 0.419893 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.030668 0.000852 4.899781 0.995875 0.031835 -0.354103 -1 pt=0.996384 trkIdx=0 algo=4
simHit 4.636649 0.268832 3.258639 4.644436 0.653995 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 7.033779 0.508297 2.391931 7.052121 0.332991 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 10.350551 0.953100 1.184917 10.394340 0.113751 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
